Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Trade_Date,Month,Year,price_volume,Day_Perc_Change,Trend
15-May-2017,MINDTREE,EQ,510.6,507.35,515.0,505.9,510.5,509.45,510.39,271952,138800509.75,8261,100362,36.9,2017-05-15,5,2017,138801581.28,0.0,No Change
16-May-2017,MINDTREE,EQ,509.45,507.0,515.85,506.0,511.0,511.3,512.69,207011,106131728.2,5550,82090,39.65,2017-05-16,5,2017,106132469.59000002,0.363136716066359,No Change
17-May-2017,MINDTREE,EQ,511.3,507.05,519.7,502.75,504.0,506.35,512.1,391401,200437504.6,13341,150098,38.35,2017-05-17,5,2017,200436452.1,-0.9681204772149399,Slight Negative
18-May-2017,MINDTREE,EQ,506.35,502.0,516.75,486.0,487.5,492.9,505.6,852336,430937717.05,18513,170919,20.05,2017-05-18,5,2017,430941081.6,-2.6562654290510634,Negative
19-May-2017,MINDTREE,EQ,492.9,491.95,502.95,489.5,495.15,497.5,496.43,352273,174878151.5,8326,57853,16.42,2017-05-19,5,2017,174878885.39000002,0.9332521809697791,Slight Positive
22-May-2017,MINDTREE,EQ,497.5,499.95,511.85,497.1,501.55,502.35,504.78,399974,201899898.35,9779,107089,26.77,2017-05-22,5,2017,201898875.72,0.9748743718593023,Slight Positive
23-May-2017,MINDTREE,EQ,502.35,504.0,507.45,491.0,498.0,501.15,498.72,452893,225866353.65,8567,198703,43.87,2017-05-23,5,2017,225866796.96,-0.23887727679905435,No Change
24-May-2017,MINDTREE,EQ,501.15,502.0,515.0,494.05,511.95,509.95,506.72,823967,417521056.9,15083,351179,42.62,2017-05-24,5,2017,417520558.24,1.7559612890352128,Positive
25-May-2017,MINDTREE,EQ,509.95,513.7,549.5,508.45,542.5,543.9,532.14,1632427,868682873.0,25072,693340,42.47,2017-05-25,5,2017,868679703.78,6.657515442690465,Among Top Gainers
26-May-2017,MINDTREE,EQ,543.9,540.0,544.0,532.0,533.45,535.2,537.15,461613,247953805.9,12606,113087,24.5,2017-05-26,5,2017,247955422.95,-1.5995587424158741,Negative
29-May-2017,MINDTREE,EQ,535.2,532.5,552.05,521.6,529.15,530.55,535.83,718355,384914121.1,19256,173854,24.2,2017-05-29,5,2017,384916159.65000004,-0.8688340807175066,Slight Negative
30-May-2017,MINDTREE,EQ,530.55,530.55,540.0,524.0,535.6,537.4,535.4,475566,254620399.25,11648,186388,39.19,2017-05-30,5,2017,254618036.39999998,1.2911129959475964,Positive
31-May-2017,MINDTREE,EQ,537.4,540.0,549.8,534.5,546.05,543.95,543.99,617800,336076783.45,18504,234480,37.95,2017-05-31,5,2017,336077022.0,1.2188314104949916,Positive
01-Jun-2017,MINDTREE,EQ,543.95,545.05,549.0,535.0,538.0,537.4,540.08,504801,272634250.6,18409,182246,36.1,2017-06-01,6,2017,272632924.08000004,-1.204154793639134,Negative
02-Jun-2017,MINDTREE,EQ,537.4,537.8,543.8,533.1,539.9,539.9,539.28,312022,168268100.8,6951,139538,44.72,2017-06-02,6,2017,168267224.16,0.4652028284331866,No Change
05-Jun-2017,MINDTREE,EQ,539.9,540.0,560.0,536.3,555.85,557.45,552.59,960839,530948103.85,34305,367704,38.27,2017-06-05,6,2017,530950023.01000005,3.2506019633265604,Among Top Gainers
06-Jun-2017,MINDTREE,EQ,557.45,560.0,565.9,544.4,546.0,546.7,557.59,931646,519479225.9,28291,241092,25.88,2017-06-06,6,2017,519476493.14000005,-1.928424073907975,Negative
07-Jun-2017,MINDTREE,EQ,546.7,549.5,556.1,513.55,534.9,536.9,534.96,957153,512035924.15,18469,250862,26.21,2017-06-07,6,2017,512038568.88000005,-1.7925736235595569,Negative
08-Jun-2017,MINDTREE,EQ,536.9,538.5,546.35,528.0,542.8,543.5,539.33,459527,247838052.8,9138,138735,30.19,2017-06-08,6,2017,247836696.91000003,1.2292791953808946,Positive
09-Jun-2017,MINDTREE,EQ,543.5,542.0,542.75,534.15,537.05,538.75,538.62,229279,123494625.55,7087,87478,38.15,2017-06-09,6,2017,123494254.98,-0.8739650413983391,Slight Negative
12-Jun-2017,MINDTREE,EQ,538.75,536.1,544.55,528.05,539.0,539.8,538.19,379066,204010845.35,9623,98241,25.92,2017-06-12,6,2017,204009530.54000002,0.19489559164731496,No Change
13-Jun-2017,MINDTREE,EQ,539.8,540.9,542.35,530.2,532.0,531.8,536.98,320855,172291144.95,12246,97230,30.3,2017-06-13,6,2017,172292717.9,-1.482030381622823,Negative
14-Jun-2017,MINDTREE,EQ,531.8,531.7,536.75,516.45,523.5,523.3,523.37,671432,351407049.65,9066,317335,47.26,2017-06-14,6,2017,351407365.84,-1.5983452425723965,Negative
15-Jun-2017,MINDTREE,EQ,523.3,521.05,523.75,515.05,515.65,517.85,520.28,210643,109592788.85,5216,66819,31.72,2017-06-15,6,2017,109593340.03999999,-1.0414676094018582,Negative
16-Jun-2017,MINDTREE,EQ,517.85,518.05,525.45,511.15,514.9,514.95,518.36,385256,199702494.7,6706,116377,30.21,2017-06-16,6,2017,199701300.16,-0.5600077242444712,Slight Negative
19-Jun-2017,MINDTREE,EQ,514.95,518.7,520.45,511.6,515.2,515.9,516.15,188878,97488450.9,4159,31231,16.54,2017-06-19,6,2017,97489379.7,0.18448393047867384,No Change
20-Jun-2017,MINDTREE,EQ,515.9,516.0,525.0,516.0,519.05,519.75,520.97,442425,230490111.3,11450,226523,51.2,2017-06-20,6,2017,230490152.25,0.7462686567164312,Slight Positive
21-Jun-2017,MINDTREE,EQ,519.75,517.85,524.0,515.05,519.9,519.6,520.65,414457,215787296.9,14034,188443,45.47,2017-06-21,6,2017,215787037.04999998,-0.028860028860022702,No Change
22-Jun-2017,MINDTREE,EQ,519.6,520.0,530.85,518.25,521.05,521.0,525.4,403163,211820055.15,7914,95596,23.71,2017-06-22,6,2017,211821840.2,0.2694380292532772,No Change
23-Jun-2017,MINDTREE,EQ,521.0,531.95,537.5,525.0,532.0,532.0,531.87,1238632,658793281.85,22835,220177,17.78,2017-06-23,6,2017,658791201.84,2.111324376199608,Positive
27-Jun-2017,MINDTREE,EQ,532.0,537.0,540.0,516.05,526.05,526.65,528.98,699296,369910443.5,15285,221803,31.72,2017-06-27,6,2017,369913598.08,-1.0056390977443597,Negative
28-Jun-2017,MINDTREE,EQ,526.65,525.0,534.0,520.55,529.95,531.1,529.33,336692,178221369.5,7826,73242,21.75,2017-06-28,6,2017,178221176.36,0.8449634482103896,Slight Positive
